Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
http://192.168.2.5/ACCSSPLDRYRUN/Store/ListGoodsInwardNotes,30,1046,89,4656,1384.23,100.000%,.23052,167.48,7.12,743964.7
http://192.168.2.5/ACCSSPLDRYRUN/Home/GetPlant,50,47,2,1449,207.05,0.000%,.39219,0.10,0.17,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Master/GetPageAccessDetails,50,25,2,1062,148.17,0.000%,.39222,0.10,0.16,265.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetPlant,30,36,1,977,174.73,0.000%,.23536,0.06,0.08,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Notification/Getnotitfication,60,62,1,992,224.17,0.000%,.47079,0.12,0.21,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetGinDetailsByDate,20,2646,19,6809,2858.73,0.000%,.17511,1.50,0.09,8758.5
http://192.168.2.5/ACCSSPLDRYRUN/Store/GoodsInwardNotes,20,143,38,315,90.98,50.000%,2.14846,75.33,37.38,35904.5
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetApplicationPreferencesSetting,20,9,5,20,3.84,0.000%,.17560,0.10,0.08,609.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetGRNTypeList,30,10,4,34,6.82,0.000%,3.54946,4.82,1.62,1390.3
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetRackForRMGIN,20,8,4,22,5.80,0.000%,.17563,0.24,0.08,1412.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/FillCustomerNVendorDropdownListByGin,10,4,2,11,2.76,0.000%,1.19019,0.29,0.59,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/FillCustomerNVendorPoNSoDropdownList,10,392,365,413,14.36,100.000%,1.13546,52.20,0.55,47080.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetPoSoDeatils,10,31,27,38,4.05,0.000%,1.18652,0.79,0.57,682.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetStorePlantGrnTypeWise,10,7,5,15,3.44,0.000%,1.19033,0.86,0.50,742.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/CustomerNVendorItems,10,27,10,91,23.80,0.000%,1.19033,0.38,0.65,327.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/CustomerNVendorItemsDetails,10,74,52,143,29.88,0.000%,1.18821,2.82,0.65,2428.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetPrimaryUOMonDC,10,42,34,58,8.24,100.000%,1.20380,55.35,0.71,47080.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetInvoicedata,10,5,2,15,4.39,0.000%,1.20671,0.30,0.59,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/SendMailToSalePerson,10,19,5,44,13.80,0.000%,1.22429,0.30,0.83,252.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetGinApprovers?TypeId=21&PlantId=2&GinId=GIN26200047,10,12,4,39,9.94,0.000%,1.22971,0.58,0.54,481.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/SentforQualityCheck,10,750,398,923,170.53,10.000%,1.11570,5.38,0.84,4934.8
http://192.168.2.5/ACCSSPLDRYRUN/Store/IsGRNCancelCheck,10,1061,91,9771,2903.03,0.000%,.10386,0.03,0.05,272.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GoodsInwardNotes?GinId=GIN26200047&Handle=view,10,179,103,334,64.12,100.000%,.11367,7.93,3.69,71475.0
Test,10,12244,10790,21063,2966.09,100.000%,.07678,188.24,13.71,2510559.8
TOTAL,470,521,1,21063,2044.74,17.234%,3.60853,376.47,27.41,106832.3
