Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
http://192.168.2.5/ACCSSPLDRYRUN/Store/GoodsInwardNotes,20,764,60,3802,868.91,50.000%,3.94011,3979.90,59.01,1034340.5
http://192.168.2.5/ACCSSPLDRYRUN/Home/GetPlant,30,14,2,105,26.65,0.000%,.38396,0.09,0.17,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Master/GetPageAccessDetails,30,10,1,60,15.47,0.000%,.38442,0.10,0.16,265.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetApplicationPreferencesSetting,10,82,12,373,103.78,0.000%,2.93083,1.74,1.33,609.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetGRNTypeList,10,46,11,136,39.54,0.000%,3.03767,5.09,1.39,1717.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetRackForRMGIN,10,71,9,371,106.69,0.000%,3.12695,4.31,1.39,1412.0
http://192.168.2.5/ACCSSPLDRYRUN/Notification/Getnotitfication,40,20,2,256,52.02,0.000%,.51522,0.13,0.23,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/FillCustomerNVendorDropdownListByGin,10,9,2,33,9.77,0.000%,3.36361,0.83,1.67,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/FillCustomerNVendorPoNSoDropdownList,10,660,373,1033,241.69,100.000%,3.01841,138.78,1.47,47080.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetPoSoDeatils,10,109,27,263,78.75,0.000%,3.45304,2.35,1.67,698.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetStorePlantGrnTypeWise,10,30,10,159,43.29,0.000%,3.56125,1.07,1.51,307.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/CustomerNVendorItems,10,125,17,225,69.77,0.000%,3.55492,1.17,1.93,337.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/CustomerNVendorItemsDetails,10,302,110,505,106.46,0.000%,3.59195,8.11,1.97,2312.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetInvoicedata,10,9,2,41,10.97,0.000%,4.39754,1.09,2.16,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/SendMailToSalePerson,10,41,10,150,41.14,0.000%,4.55373,1.12,3.10,252.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/ListGoodsInwardNotes,20,189,101,291,38.30,100.000%,.27600,19.26,8.96,71475.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetPlant,20,3,1,14,3.65,0.000%,.27638,0.07,0.10,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetGinDetailsByDate,20,24,19,46,6.31,0.000%,.27632,0.32,0.15,1203.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/IsGRNCancelCheck,30,82,73,100,9.16,0.000%,.41363,0.11,0.19,272.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetGinApprovers?TypeId=9&PlantId=2&GinId=GIN26200048,10,5,4,11,2.02,0.000%,.16548,0.18,0.07,1144.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/SentforQualityCheck,10,503,334,813,160.99,0.000%,.16430,0.04,0.11,252.0
Test,10,4367,3530,5708,569.60,100.000%,.12626,280.46,13.76,2274551.0
TOTAL,350,249,1,5708,774.07,14.286%,4.41919,560.92,27.52,129974.3
