Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
http://192.168.2.5/ACCSSPLDRYRUN/Store/ListGoodsInwardNotes,20,513,107,1206,416.65,100.000%,.11574,122.09,3.48,1080220.0
http://192.168.2.5/ACCSSPLDRYRUN/Home/GetPlant,30,12,1,59,17.44,0.000%,.17393,0.04,0.08,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Master/GetPageAccessDetails,30,13,1,97,24.57,0.000%,.17396,0.05,0.07,265.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetPlant,20,15,1,72,21.97,0.000%,.11598,0.03,0.04,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Notification/Getnotitfication,50,8,1,75,16.79,0.000%,.28995,0.07,0.13,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GoodsInwardNotes,20,875,50,15054,3253.04,50.000%,1.00266,35.15,17.41,35895.5
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetApplicationPreferencesSetting,10,9,5,15,3.38,0.000%,2.24165,1.33,1.02,609.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetGRNTypeList,10,12,4,38,12.09,0.000%,2.22668,3.73,1.02,1717.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetRackForRMGIN,10,8,4,15,3.40,0.000%,2.22420,3.07,0.99,1412.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/FillCustomerNVendorDropdownListByGin,10,2,2,3,0.46,0.000%,2.22568,0.55,1.10,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/FillCustomerNVendorPoNSoDropdownList,10,1868,369,15054,4395.37,100.000%,.51167,21.36,0.25,42746.3
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetPoSoDeatils,10,32,27,46,5.47,0.000%,.52054,0.35,0.25,690.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetStorePlantGrnTypeWise,10,9,4,37,9.44,0.000%,.52116,0.16,0.22,307.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/CustomerNVendorItems,10,30,10,72,16.35,0.000%,.52067,0.17,0.29,337.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/CustomerNVendorItemsDetails,10,195,84,368,84.78,0.000%,.51999,1.17,0.29,2309.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetInvoicedata,20,5,1,26,7.01,0.000%,1.06005,0.26,0.52,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/SendMailToSalePerson,10,27,5,109,37.20,0.000%,.53180,0.13,0.36,252.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetGinApprovers?TypeId=7&PlantId=2&GinId=GIN26200049,10,18,4,104,28.99,0.000%,.53191,1.15,0.23,2216.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/SentforQualityCheck,10,5633,289,16124,6835.12,20.000%,.49953,4.69,0.62,9617.6
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetGinDetailsByDate,10,1198,18,11802,3534.47,0.000%,.06198,0.13,0.03,2089.0
Test,10,11989,2903,18495,6936.38,100.000%,.05786,129.99,6.28,2300616.9
TOTAL,330,726,1,18495,3081.03,15.758%,1.90930,259.98,12.56,139431.3
