Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
http://192.168.2.5/ACCSSPLDRYRUN/Store/ListGoodsInwardNotes,20,3078,133,6369,2906.7,100.00%,0.06146,64.85,1.85,1080337.9
http://192.168.2.5/ACCSSPLDRYRUN/Home/GetPlant,20,65,2,134,63.26,0.00%,0.0627,0.02,0.03,253
http://192.168.2.5/ACCSSPLDRYRUN/Master/GetPageAccessDetails,20,8,2,19,6.42,0.00%,0.06272,0.02,0.03,265
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetPlant,20,6,1,16,5.17,0.00%,0.06273,0.02,0.02,253
http://192.168.2.5/ACCSSPLDRYRUN/Store/GoodsInwardNotes,20,245,35,976,264.81,50.00%,0.32136,11.27,5.58,35904.5
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetApplicationPreferencesSetting,10,1299,10,7075,2563.1,0.00%,0.16244,0.1,0.07,609
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetGRNTypeList,10,9,4,19,5.48,0.00%,0.18351,0.13,0.08,737
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetRackForRMGIN,10,35,5,144,54.56,0.00%,0.18356,0.25,0.08,1412
http://192.168.2.5/ACCSSPLDRYRUN/Notification/Getnotitfication,20,3,2,17,3.25,0.00%,0.07453,0.02,0.03,253
http://192.168.2.5/ACCSSPLDRYRUN/Store/FillCustomerNVendorDropdownListByGin,10,2,2,5,1.14,0.00%,0.18404,0.05,0.09,253
http://192.168.2.5/ACCSSPLDRYRUN/Store/FillCustomerNVendorPoNSoDropdownList,10,428,307,807,190.2,100.00%,0.18294,8.37,0.09,46825
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetPoSoDeatils,10,27,6,103,34.06,0.00%,0.18566,0.11,0.09,633
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetStorePlantGrnTypeWise,10,29,4,187,53.68,0.00%,0.18586,0.06,0.08,322
http://192.168.2.5/ACCSSPLDRYRUN/Store/CustomerNVendorItems,10,20,6,95,26.51,0.00%,0.18596,0.06,0.1,328
http://192.168.2.5/ACCSSPLDRYRUN/Store/CustomerNVendorItemsDetails,10,19,8,57,17.99,0.00%,0.18603,0.39,0.1,2172
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetInvoicedata,10,2,2,5,1.14,0.00%,0.18622,0.05,0.09,253
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetJobWorkCustDispatchSchedule,10,35,19,94,28.88,0.00%,0.18616,0.06,0.1,322
http://192.168.2.5/ACCSSPLDRYRUN/Store/SendMailToSalePerson,10,17,5,52,19.16,0.00%,0.18909,0.05,0.13,252
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetGinApprovers?TypeId=26&PlantId=2&GinId=GIN26200069,20,7,4,24,5.99,0.00%,0.37764,0.13,0.17,362
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetGinDetailsByDate,20,206,35,383,148.41,0.00%,0.07507,0.74,0.04,10146
http://192.168.2.5/ACCSSPLDRYRUN/Store/IsGRNCancelCheck,10,1351,72,4328,1947.99,0.00%,0.18927,0.05,0.09,272
http://192.168.2.5/ACCSSPLDRYRUN/Store/SentforQualityCheck,10,1264,362,2243,796.39,20.00%,0.20423,1.91,0.14,9566.6
Test,10,11788,7529,22289,5462.58,100.00%,0.03069,69.51,3.29,2319505.3
TOTAL,310,760,1,22289,2562.07,16.77%,0.95127,139.02,6.58,149645.5
