Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
http://192.168.2.5/ACCSSPLDRYRUN/Store/ListGoodsInwardNotes,20,503,99,1154,380.74,100.000%,.18589,196.09,5.59,1080220.0
http://192.168.2.5/ACCSSPLDRYRUN/Home/GetPlant,30,11,1,82,19.39,0.000%,.27951,0.07,0.12,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Master/GetPageAccessDetails,30,12,2,119,24.50,0.000%,.27954,0.07,0.11,265.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetPlant,20,13,2,79,21.00,0.000%,.18638,0.05,0.06,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Notification/Getnotitfication,40,10,1,119,23.26,0.000%,.37269,0.09,0.17,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GoodsInwardNotes,20,107,17,486,113.83,50.000%,2.21214,77.54,38.27,35895.5
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetApplicationPreferencesSetting,10,8,5,12,2.58,0.000%,1.18427,0.70,0.54,609.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetGRNTypeList,10,7,4,15,3.87,0.000%,1.18357,1.98,0.54,1717.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetRackForRMGIN,10,6,4,13,2.81,0.000%,1.18231,1.63,0.53,1412.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/FillCustomerNVendorDropdownListByGin,10,2,2,4,0.64,0.000%,1.18273,0.29,0.59,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetRetunableWithoutPO,10,380,354,412,21.97,100.000%,1.12816,51.87,0.53,47080.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetStorePlantGrnTypeWise,10,4,4,6,0.78,0.000%,1.17454,0.50,0.50,436.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GRNWithoutPOItemDetails,10,8,4,15,3.96,0.000%,1.17371,2.18,0.62,1906.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetInvoicedata,20,3,1,19,3.71,0.000%,2.34880,0.58,1.15,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/SendMailToSalePerson,10,8,4,13,3.37,0.000%,1.17165,0.29,0.80,252.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetGinApprovers?TypeId=25&PlantId=2&GinId=GIN26200050,10,8,4,28,6.95,0.000%,1.16850,0.54,0.51,475.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/SentforQualityCheck,10,590,391,1538,345.74,0.000%,1.10975,0.27,0.85,252.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetGinDetailsByDate,10,31,18,88,21.86,0.000%,.10187,0.21,0.05,2089.0
Test,10,2428,1592,3524,530.36,100.000%,.09290,207.95,9.89,2292290.0
TOTAL,300,161,1,3524,478.23,16.667%,2.78686,415.90,19.78,152819.3
