Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
http://192.168.2.5/ACCSSPLDRYRUN/Store/ListGoodsInwardNotes,20,543,99,1280,426.04,100.000%,.24467,258.10,7.36,1080220.0
http://192.168.2.5/ACCSSPLDRYRUN/Home/GetPlant,30,9,2,68,14.12,0.000%,.36840,0.09,0.16,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Master/GetPageAccessDetails,30,9,1,55,13.76,0.000%,.36848,0.10,0.15,265.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetPlant,20,14,1,67,20.74,0.000%,.24569,0.06,0.09,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GoodsInwardNotes,20,174,50,633,152.17,50.000%,3.00888,105.47,52.21,35895.5
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetApplicationPreferencesSetting,10,7,5,12,2.56,0.000%,1.88786,1.12,0.86,609.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetGRNTypeList,10,5,3,11,2.06,0.000%,1.89036,3.17,0.86,1717.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetRackForRMGIN,10,6,3,19,4.48,0.000%,1.88573,2.60,0.84,1412.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/FillCustomerNVendorDropdownListByGin,10,2,1,3,0.70,0.000%,1.88679,0.47,0.94,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Notification/Getnotitfication,30,18,1,205,48.47,0.000%,.37598,0.09,0.17,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/FillCustomerNVendorPoNSoDropdownList,10,420,359,588,61.68,100.000%,1.74795,80.36,0.85,47080.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetPoSoDeatils,10,39,27,120,27.22,0.000%,1.85391,1.17,0.90,645.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetStorePlantGrnTypeWise,10,25,4,162,46.39,0.000%,1.81061,0.56,0.77,316.0
https://espresso-pa.clients6.google.com/v1/prewarm?key=AIzaSyAkthrhpXoRv6M12CMqGivGO-rCfsy2AxU&alt=protojson,10,141,92,480,113.67,100.000%,1.78158,1.65,2.34,951.0
https://play.google.com/log?format=json&hasfast=true&authuser=0,10,176,156,203,14.49,100.000%,1.76243,3.85,39.49,2237.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/CustomerNVendorItems,10,28,10,55,14.95,0.000%,1.82448,0.57,0.99,322.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/CustomerNVendorItemsDetails,10,231,87,570,135.26,0.000%,1.80799,4.04,0.99,2290.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetInvoicedata,10,4,1,23,6.22,0.000%,1.88822,0.47,0.93,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/SendMailToSalePerson,10,22,4,155,44.35,0.000%,1.90186,0.47,1.30,252.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetGinApprovers?TypeId=18&PlantId=2&GinId=GIN26200051,10,44,3,405,120.18,0.000%,1.90331,0.68,0.83,368.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/SentforQualityCheck,10,553,422,860,152.19,0.000%,1.76087,0.43,1.32,252.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetGinDetailsByDate,10,28,18,92,21.67,0.000%,.17306,0.35,0.09,2089.0
Test,10,3312,2797,3839,335.63,100.000%,.12229,274.20,15.95,2296096.0
TOTAL,320,207,1,3839,598.30,21.875%,3.91318,548.40,31.89,143506.0
