Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
http://192.168.2.5/ACCSSPLDRYRUN/Store/ListGoodsInwardNotes,20,1138,121,4228,1457.89,100.000%,.07705,81.28,2.32,1080227.6
http://192.168.2.5/ACCSSPLDRYRUN/Home/GetPlant,30,12,2,167,30.82,0.000%,.11580,0.03,0.05,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Master/GetPageAccessDetails,30,18,2,303,55.42,0.000%,.11580,0.03,0.05,265.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetPlant,20,8,1,56,16.18,0.000%,.07720,0.02,0.03,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GoodsInwardNotes,20,156,51,437,116.73,50.000%,.18678,6.55,3.25,35895.5
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetApplicationPreferencesSetting,10,11,6,32,7.59,0.000%,1.40076,0.83,0.63,609.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetGRNTypeList,10,3008,4,30010,9000.60,10.000%,.26924,0.50,0.12,1919.6
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetRackForRMGIN,10,3009,5,30008,8999.50,10.000%,.14894,0.24,0.07,1645.1
http://192.168.2.5/ACCSSPLDRYRUN/Notification/Getnotitfication,30,2,1,10,2.14,0.000%,.11778,0.03,0.05,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/FillCustomerNVendorDropdownListByGin,10,2,2,7,1.45,0.000%,.14894,0.04,0.07,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/FillCustomerNVendorPoNSoDropdownList,10,3371,376,30011,8880.03,100.000%,.10294,4.30,0.05,42746.3
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetPoSoDeatils,10,935,26,9033,2699.21,0.000%,.09453,0.07,0.05,800.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetStorePlantGrnTypeWise,10,9,4,29,7.17,0.000%,.09456,0.03,0.04,314.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/CustomerNVendorItems,10,32,11,48,12.18,0.000%,.09453,0.04,0.05,423.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/CustomerNVendorItemsDetails,10,158,91,286,72.43,0.000%,.09428,0.22,0.05,2393.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetInvoicedata,10,9,2,36,11.94,0.000%,.09433,0.02,0.05,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/SendMailToSalePerson,10,12,5,28,7.60,0.000%,.09431,0.02,0.06,252.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetGinApprovers?TypeId=16&PlantId=2&GinId=GIN26200052,10,9,4,18,4.86,0.000%,.09431,0.05,0.04,572.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/SentforQualityCheck,10,514,380,774,134.38,0.000%,.09398,0.02,0.08,252.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetGinDetailsByDate,10,6956,19,30011,11269.51,20.000%,.05438,0.36,0.03,6753.5
GIN-Gauges,10,20749,2243,104075,29697.64,100.000%,.03852,86.29,4.12,2294250.6
TOTAL,300,1383,1,104075,7563.58,18.000%,1.15547,172.59,8.23,152950.0
