Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
http://192.168.2.5/ACCSSPLDRYRUN/Home/GetQuickMenu,10,372,17,3013,881.44,0.000%,2.76396,0.72,1.06,268.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/ListGoodsInwardNotes,20,561,110,1302,434.42,100.000%,.13911,145.00,4.18,1067288.6
http://192.168.2.5/ACCSSPLDRYRUN/Home/GetPlant,30,9,2,51,12.90,0.000%,.21028,0.05,0.09,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Master/GetPageAccessDetails,30,12,2,170,31.22,0.000%,.21029,0.05,0.09,265.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetPlant,20,17,1,172,38.01,0.000%,.14021,0.03,0.05,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetGinDetailsByDate,20,117,23,366,93.62,0.000%,7.32064,13.62,3.91,1905.5
http://192.168.2.5/ACCSSPLDRYRUN/Notification/Getnotitfication,50,4,1,55,7.87,0.000%,.35082,0.09,0.16,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GoodsInwardNotes,20,129,52,488,100.06,50.000%,.55455,19.44,9.65,35895.5
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetApplicationPreferencesSetting,10,7,5,16,3.16,0.000%,.28460,0.17,0.13,609.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetGRNTypeList,10,8,4,15,4.04,0.000%,.28467,0.48,0.13,1717.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetRackForRMGIN,10,9,4,23,5.57,0.000%,.28472,0.39,0.13,1412.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/FillCustomerNVendorDropdownListByGin,10,2,2,3,0.30,0.000%,.28479,0.07,0.14,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/FillCustomerNVendorPoNSoDropdownList,10,372,363,386,6.58,100.000%,.28190,12.96,0.14,47080.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetPoSoDeatils,10,32,28,58,8.76,0.000%,.28456,1.40,0.14,5039.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetStorePlantGrnTypeWise,10,9,4,22,5.65,0.000%,.28479,0.15,0.12,536.0
https://play.google.com/log?format=json&hasfast=true&authuser=0,10,162,154,189,11.23,100.000%,.28362,0.83,0.31,2992.2
http://192.168.2.5/ACCSSPLDRYRUN/Store/CustomerNVendorItems,10,18,10,29,6.31,0.000%,.28567,0.09,0.16,330.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/CustomerNVendorItemsDetails,10,100,84,206,35.51,0.000%,.28520,0.64,0.16,2298.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetInvoicedata,10,2,2,3,0.49,0.000%,.28687,0.07,0.14,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/SendMailToSalePerson,10,9,4,19,4.69,0.000%,.28690,0.07,0.20,252.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetGinApprovers?TypeId=13&PlantId=2&GinId=GIN26200054,10,7,4,17,4.71,0.000%,.28700,0.25,0.13,902.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/SentforQualityCheck,10,454,383,567,59.23,0.000%,.28299,0.07,0.22,252.0
Test,10,3310,2690,5215,696.08,100.000%,.06954,154.69,7.63,2277697.3
TOTAL,350,189,1,5215,600.21,17.143%,2.43405,309.38,15.27,130154.1
