Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
http://192.168.2.5/ACCSSPLDRYRUN/Store/ListGoodsInwardNotes,20,566,134,1447,457.29,100.000%,.20440,215.62,6.15,1080220.0
http://192.168.2.5/ACCSSPLDRYRUN/Home/GetPlant,30,13,1,73,21.44,0.000%,.30758,0.08,0.14,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Master/GetPageAccessDetails,30,8,1,42,12.96,0.000%,.30772,0.08,0.13,265.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetPlant,20,13,1,54,15.04,0.000%,.20522,0.05,0.07,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GoodsInwardNotes,20,201,95,452,84.56,50.000%,2.33973,82.02,40.67,35895.5
http://192.168.2.5/ACCSSPLDRYRUN/Notification/Getnotitfication,40,30,1,399,74.49,0.000%,.42236,0.10,0.19,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetApplicationPreferencesSetting,10,3602,905,6007,1808.72,0.000%,1.66279,0.99,0.75,609.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetGRNTypeList,10,13,10,17,2.37,0.000%,384.61538,644.91,175.41,1717.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetRackForRMGIN,10,8,4,15,3.46,0.000%,434.78261,599.52,193.61,1412.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/FillCustomerNVendorDropdownListByGin,10,3,2,5,0.90,0.000%,769.23077,190.05,382.36,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/FillCustomerNVendorPoNSoDropdownList,10,700,435,902,168.60,100.000%,10.97695,504.68,5.35,47080.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetPoSoDeatils,10,84,43,195,42.04,0.000%,15.06024,10.60,7.29,721.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetStorePlantGrnTypeWise,10,61,7,196,67.72,0.000%,12.88660,3.95,5.46,314.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/CustomerNVendorItems,10,164,42,317,86.93,0.000%,9.83284,3.44,5.39,358.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/CustomerNVendorItemsDetails,10,359,230,496,84.50,0.000%,8.76424,19.92,4.84,2327.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetInvoicedata,10,129,9,259,88.87,0.000%,12.07729,2.98,5.91,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/SendMailToSalePerson,10,134,26,311,87.13,0.000%,8.25764,2.03,5.61,252.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetGinApprovers?TypeId=15&PlantId=2&GinId=GIN26200055,10,73,17,171,50.67,0.000%,9.64320,5.57,4.22,591.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/SentforQualityCheck,10,570,378,862,161.51,10.000%,7.41290,35.72,5.79,4934.8
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetGinDetailsByDate,10,44,38,63,6.91,0.000%,.23389,0.28,0.12,1233.0
Test,10,7698,5003,10161,1849.93,100.000%,.10214,229.15,10.95,2297357.8
TOTAL,310,496,1,10161,1540.74,16.452%,3.16624,458.29,21.90,148216.6
