Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
http://192.168.2.5/ACCSSPLDRYRUN/Store/ListGoodsInwardNotes,20,663,129,1568,533.52,100.000%,.13824,144.09,4.16,1067288.6
http://192.168.2.5/ACCSSPLDRYRUN/Home/GetPlant,30,13,2,69,22.25,0.000%,.20813,0.05,0.09,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Master/GetPageAccessDetails,30,12,1,89,23.52,0.000%,.20815,0.05,0.09,265.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetPlant,20,16,1,95,29.27,0.000%,.13880,0.03,0.05,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GoodsInwardNotes,20,125,58,271,61.79,50.000%,3.06607,107.48,53.30,35895.5
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetApplicationPreferencesSetting,10,9,5,27,6.36,0.000%,2.36128,1.40,1.07,609.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetGRNTypeList,10,16,3,91,25.20,0.000%,2.37417,3.98,1.08,1717.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetRackForRMGIN,10,7,3,15,3.72,0.000%,2.42424,3.34,1.08,1412.0
http://192.168.2.5/ACCSSPLDRYRUN/Notification/Getnotitfication,30,2,1,10,2.04,0.000%,.20320,0.05,0.09,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/FillCustomerNVendorDropdownListByGin,10,2,2,4,0.64,0.000%,2.42483,0.60,1.21,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/FillCustomerNVendorPoNSoDropdownList,10,346,331,376,12.52,100.000%,2.23914,102.95,1.09,47080.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetPoSoDeatils,10,31,26,56,8.98,0.000%,2.40327,1.60,1.16,683.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetStorePlantGrnTypeWise,10,8,4,15,3.46,0.000%,2.43132,1.02,1.03,430.0
https://play.google.com/log?format=json&hasfast=true&authuser=0,20,563,153,1022,391.83,100.000%,3.71402,8.11,54.90,2237.0
https://waa-pa.clients6.google.com/$rpc/google.internal.waa.v1.Waa/Ping,10,164,95,409,95.50,100.000%,2.38834,2.14,6.17,917.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/CustomerNVendorItems,10,28,10,52,13.93,0.000%,2.42954,0.77,1.33,324.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/CustomerNVendorItemsDetails,10,141,84,222,54.06,0.000%,2.33481,5.25,1.29,2304.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetInvoicedata,10,15,2,132,38.81,0.000%,2.38493,0.59,1.17,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/SendMailToSalePerson,10,10,5,20,5.16,0.000%,2.38607,0.59,1.71,252.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetGinApprovers?TypeId=17&PlantId=2&GinId=GIN26200058,10,11,3,35,8.74,0.000%,2.38720,0.86,1.04,370.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/SentforQualityCheck,10,509,402,756,101.08,0.000%,2.12404,0.52,1.67,252.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetGinDetailsByDate,10,686,32,6503,1938.84,0.000%,.10303,0.59,0.06,5885.0
Test,10,4812,3412,10605,1959.81,100.000%,.06614,147.04,9.19,2276402.1
TOTAL,330,291,1,10605,974.14,24.242%,2.18273,294.08,18.38,137963.8
