Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
http://192.168.2.5/ACCSSPLDRYRUN/Store/ListGoodsInwardNotes,20,510,94,1234,412.82,100.000%,.35774,377.38,10.76,1080227.6
http://192.168.2.5/ACCSSPLDRYRUN/Home/GetPlant,30,11,1,53,16.98,0.000%,.53911,0.13,0.24,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Master/GetPageAccessDetails,30,11,1,60,16.61,0.000%,.53935,0.14,0.22,265.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetPlant,20,14,1,61,19.59,0.000%,.35967,0.09,0.13,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GoodsInwardNotes,20,126,35,497,102.69,50.000%,2.80269,98.27,48.65,35903.1
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetApplicationPreferencesSetting,10,7,5,11,1.95,0.000%,1.62101,0.96,0.73,609.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetGRNTypeList,20,5,4,10,2.03,0.000%,3.23729,3.88,1.48,1227.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetRackForRMGIN,10,5,4,10,2.00,0.000%,1.62127,2.24,0.72,1412.0
http://192.168.2.5/ACCSSPLDRYRUN/Notification/Getnotitfication,30,3,1,24,4.17,0.000%,.58235,0.14,0.26,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/FillCustomerNVendorDropdownListByGin,10,2,2,3,0.40,0.000%,1.62153,0.40,0.81,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/FillCustomerNVendorPoNSoDropdownList,10,490,375,971,179.35,100.000%,1.46391,67.31,0.72,47080.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetPoSoDeatils,10,7,6,18,3.45,0.000%,1.54727,0.95,0.74,626.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetStorePlantGrnTypeWise,10,8,4,28,7.52,0.000%,1.54775,0.56,0.66,371.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/CustomerNVendorItems,10,7,6,14,2.41,0.000%,1.54679,0.48,0.84,321.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/CustomerNVendorItemsDetails,10,9,7,18,3.32,0.000%,1.54583,4.27,0.85,2831.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetBOMDetails,10,10,6,21,4.41,0.000%,1.54607,1.98,0.74,1313.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetInvoicedata,10,4,2,23,6.30,0.000%,1.55087,0.38,0.77,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetJobWorkCustDispatchSchedule,10,23,16,37,7.61,0.000%,1.54297,0.49,0.88,323.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/SendMailToSalePerson,10,6,5,9,1.36,0.000%,1.54178,0.38,1.10,252.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetGinApprovers?TypeId=27&PlantId=2&GinId=GIN26200061,10,5,4,14,2.94,0.000%,1.54226,0.71,0.67,471.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/SentforQualityCheck,10,973,812,1268,128.04,0.000%,1.34608,0.33,1.40,252.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetGinDetailsByDate,10,40,23,95,25.50,0.000%,.21172,1.22,0.11,5885.0
Test,10,2995,2293,3815,490.36,100.000%,.17872,401.39,19.40,2299786.2
TOTAL,330,181,1,3815,558.32,15.152%,5.89781,802.78,38.79,139381.0
