Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
http://192.168.2.5/ACCSSPLDRYRUN/Store/ListGoodsInwardNotes,20,504,125,1332,409.97,100.000%,.09985,105.33,3.00,1080220.0
http://192.168.2.5/ACCSSPLDRYRUN/Home/GetPlant,30,8,1,48,12.98,0.000%,.14996,0.04,0.07,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Master/GetPageAccessDetails,30,9,1,57,14.43,0.000%,.14998,0.04,0.06,265.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetPlant,20,14,1,69,21.15,0.000%,.10000,0.02,0.03,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GoodsInwardNotes,20,222,85,1373,300.23,50.000%,1.99481,69.94,34.61,35904.5
http://192.168.2.5/ACCSSPLDRYRUN/Notification/Getnotitfication,40,11,1,115,19.62,0.000%,.20091,0.05,0.09,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetApplicationPreferencesSetting,10,4432,888,5974,1314.10,0.000%,1.67224,0.99,0.76,609.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetGRNTypeList,20,30,4,56,12.43,0.000%,149.25373,178.84,68.07,1227.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetRackForRMGIN,10,31,6,50,13.19,0.000%,151.51515,208.93,67.47,1412.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/FillCustomerNVendorDropdownListByGin,10,133,2,781,247.11,0.000%,11.99041,2.96,5.96,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/FillCustomerNVendorPoNSoDropdownList,20,421,54,834,263.92,100.000%,15.07159,692.94,7.43,47080.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetPoSoDeatils,10,101,47,123,23.83,0.000%,17.24138,10.64,8.30,632.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetStorePlantGrnTypeWise,10,68,44,94,13.71,0.000%,18.18182,5.52,7.71,311.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/CustomerNVendorItems,10,40,20,63,13.72,0.000%,20.28398,6.48,11.07,327.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/CustomerNVendorItemsDetails,10,184,16,1489,435.02,0.000%,5.09684,10.76,2.81,2162.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetInvoicedata,10,162,3,1264,367.66,0.000%,5.20291,1.29,2.57,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetJobWorkCustDispatchSchedule,10,84,19,295,72.18,0.000%,5.25210,1.65,2.85,322.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/SendMailToSalePerson,10,58,4,100,32.30,0.000%,5.55864,1.37,3.86,252.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetGinApprovers?TypeId=23&PlantId=2&GinId=GIN26200059,10,18,5,42,13.18,0.000%,5.82411,3.94,2.55,693.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/SentforQualityCheck,10,1510,357,2529,729.82,30.000%,3.24781,45.36,4.13,14300.4
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetGinDetailsByDate,10,2040,18,6876,2971.38,0.000%,.08913,0.43,0.05,4908.0
Test,10,11353,7551,15489,2583.05,100.000%,.04978,114.64,5.43,2358369.4
TOTAL,340,667,1,15489,2167.39,18.529%,1.69237,229.28,10.87,138727.6
