Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
http://192.168.2.5/ACCSSPLDRYRUN/Store/ListGoodsInwardNotes#,10,1205,895,1562,175.80,100.000%,5.14668,10499.25,142.49,2088965.0
http://192.168.2.5/ACCSSPLDRYRUN/Home/GetPlant,20,24,1,105,34.78,0.000%,.04545,0.01,0.02,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Master/GetPageAccessDetails,20,23,2,87,32.13,0.000%,.04546,0.01,0.02,265.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetPlant,20,16,2,82,24.67,0.000%,.04546,0.01,0.02,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GoodsInwardNotes,20,921,52,15039,3241.70,55.000%,.24415,9.12,4.24,38233.7
http://192.168.2.5/ACCSSPLDRYRUN/Notification/Getnotitfication,20,3,1,9,2.01,0.000%,.04555,0.01,0.02,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetApplicationPreferencesSetting,10,8,5,25,6.30,0.000%,1.67983,1.00,0.76,609.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetGRNTypeList,10,7,3,11,2.93,0.000%,1.67898,2.82,0.77,1717.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetRackForRMGIN,10,12,4,39,11.28,0.000%,1.67757,2.31,0.75,1412.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/FillCustomerNVendorDropdownListByGin,10,9,2,71,20.64,0.000%,1.67813,0.41,0.83,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/FillCustomerNVendorPoNSoDropdownList,10,386,361,443,23.32,100.000%,1.57431,72.38,0.77,47080.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetPoSoDeatils,10,1548,27,15040,4497.49,10.000%,.47549,2.47,0.23,5329.9
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetStorePlantGrnTypeWise,10,1517,4,15042,4508.34,10.000%,.27747,1.37,0.12,5039.2
https://play.google.com/log?format=json&hasfast=true&authuser=0,10,168,146,247,28.75,100.000%,.27614,0.81,0.30,2992.2
http://192.168.2.5/ACCSSPLDRYRUN/Store/CustomerNVendorItems,10,1537,10,15037,4499.89,10.000%,.19584,0.96,0.11,5011.3
http://192.168.2.5/ACCSSPLDRYRUN/Store/CustomerNVendorItemsDetails,10,1689,106,15035,4449.78,10.000%,.15132,1.00,0.08,6789.7
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetInvoicedata,10,12,2,78,22.90,0.000%,.15161,0.04,0.07,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/SendMailToSalePerson,10,1513,5,15036,4507.47,10.000%,.10419,0.50,0.07,4934.8
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetGinApprovers?TypeId=8&PlantId=2&GinId=GIN26200062,10,3013,4,15036,6011.05,20.000%,.09009,0.94,0.04,10664.8
http://192.168.2.5/ACCSSPLDRYRUN/Store/SentforQualityCheck,10,7841,356,18252,7010.60,70.000%,.07934,2.56,0.18,33031.9
http://192.168.2.5/ACCSSPLDRYRUN/Store/ListGoodsInwardNotes,10,181,126,403,77.33,100.000%,.02873,2.01,0.93,71475.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetGinDetailsByDate,10,6020,19,30013,11995.20,20.000%,.02874,0.13,0.02,4675.0
Test,10,28652,3335,123060,34886.46,100.000%,.02267,52.43,2.45,2368748.2
TOTAL,280,2046,1,123060,9247.15,27.500%,.63466,104.87,4.90,169196.3
