Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
http://192.168.2.5/ACCSSPLDRYRUN/Store/ListGoodsInwardNotes,20,643,126,1499,509.53,100.000%,.13369,141.03,4.02,1080220.0
http://192.168.2.5/ACCSSPLDRYRUN/Home/GetPlant,30,15,2,64,21.51,0.000%,.20146,0.05,0.09,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Master/GetPageAccessDetails,30,16,2,78,25.09,0.000%,.20153,0.05,0.08,265.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetPlant,20,18,1,59,23.40,0.000%,.13439,0.03,0.05,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GoodsInwardNotes,20,125,56,238,58.38,50.000%,.55163,19.34,9.61,35903.1
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetApplicationPreferencesSetting,10,10,5,17,4.51,0.000%,1.85082,1.10,0.84,609.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetGRNTypeList,10,3013,4,30010,8998.77,10.000%,.28244,0.53,0.13,1919.6
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetRackForRMGIN,10,7,4,12,2.89,0.000%,.28246,0.39,0.13,1412.0
http://192.168.2.5/ACCSSPLDRYRUN/Notification/Getnotitfication,30,2,1,5,0.65,0.000%,.20371,0.05,0.09,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/FillCustomerNVendorDropdownListByGin,10,7,2,58,16.80,0.000%,.28249,0.07,0.14,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/FillCustomerNVendorPoNSoDropdownList,10,442,370,609,75.12,100.000%,.27959,12.85,0.14,47080.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetPoSoDeatils,10,36,27,67,11.85,0.000%,.28345,0.20,0.14,726.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetStorePlantGrnTypeWise,10,11,4,19,4.38,0.000%,.28378,0.09,0.12,307.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/CustomerNVendorItems,10,45,10,83,21.19,0.000%,.28382,0.09,0.16,337.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/CustomerNVendorItemsDetails,10,208,108,418,99.57,0.000%,.28341,0.64,0.16,2311.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetInvoicedata,10,7,2,25,9.02,0.000%,.28623,0.07,0.14,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/SendMailToSalePerson,10,18,7,44,10.47,0.000%,.28666,0.07,0.20,252.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetGinApprovers?TypeId=6&PlantId=2&GinId=GIN26200063,10,12,5,19,4.58,0.000%,.28677,0.22,0.13,793.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/SentforQualityCheck,10,7463,280,16816,7188.58,60.000%,.27228,7.54,0.47,28349.2
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetGinDetailsByDate,10,25,19,51,8.99,0.000%,.11840,0.57,0.06,4908.0
Test,10,12985,3026,34413,9917.05,100.000%,.06681,151.68,7.20,2324574.9
TOTAL,300,865,1,34413,3845.21,19.000%,2.00444,303.35,14.41,154971.7
