Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
http://192.168.2.5/ACCSSPLDRYRUN/Store/ListGoodsInwardNotes,20,505,139,1109,375.15,100.000%,.26228,276.68,7.89,1080220.0
http://192.168.2.5/ACCSSPLDRYRUN/Home/GetPlant,30,9,2,58,14.36,0.000%,.39490,0.10,0.18,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Master/GetPageAccessDetails,30,9,1,48,15.40,0.000%,.39497,0.10,0.16,265.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetPlant,20,15,1,78,21.26,0.000%,.26334,0.07,0.09,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GoodsInwardNotes,20,116,52,220,48.12,50.000%,3.45662,121.17,60.03,35895.5
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetApplicationPreferencesSetting,10,7,5,13,2.84,0.000%,1.97472,1.17,0.89,609.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetGRNTypeList,10,8,4,17,4.13,0.000%,1.97589,3.31,0.90,1717.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetRackForRMGIN,10,8,4,19,4.89,0.000%,1.97628,2.73,0.88,1412.0
http://192.168.2.5/ACCSSPLDRYRUN/Notification/Getnotitfication,30,2,1,21,3.65,0.000%,.42071,0.10,0.19,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/FillCustomerNVendorDropdownListByGin,10,2,1,5,1.02,0.000%,1.97746,0.49,0.98,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/FillCustomerNVendorPoNSoDropdownList,10,450,370,723,135.56,100.000%,1.83857,84.53,0.90,47080.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetPoSoDeatils,10,33,26,49,7.87,0.000%,1.96232,1.35,0.95,702.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetStorePlantGrnTypeWise,10,9,4,23,4.96,0.000%,1.97278,0.59,0.84,307.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/CustomerNVendorItems,10,32,11,62,14.47,0.000%,1.96850,0.65,1.08,340.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/CustomerNVendorItemsDetails,10,155,84,275,57.98,0.000%,1.94062,4.39,1.07,2314.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetInvoicedata,10,3,2,6,1.45,0.000%,1.97707,0.49,0.97,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/SendMailToSalePerson,10,12,5,35,9.52,0.000%,1.97785,0.49,1.34,252.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetGinApprovers?TypeId=24&PlantId=2&GinId=GIN26200064,10,10,4,24,5.73,0.000%,1.97824,0.92,0.87,476.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/SentforQualityCheck,10,792,279,935,175.78,10.000%,1.69549,8.17,1.70,4934.8
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetGinDetailsByDate,10,27,20,75,15.98,0.000%,.17373,2.65,0.09,15613.0
Test,10,2897,2604,3388,261.27,100.000%,.13109,295.88,14.02,2311312.8
TOTAL,300,193,1,3388,550.30,17.000%,3.93257,591.76,28.04,154087.5
