Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
http://192.168.2.5/ACCSSPLDRYRUN/Store/ListGoodsInwardNotes,20,534,120,1173,381.07,100.000%,.19962,208.57,6.00,1069920.0
http://192.168.2.5/ACCSSPLDRYRUN/Home/GetPlant,30,19,2,183,34.98,0.000%,.30017,0.07,0.13,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Master/GetPageAccessDetails,30,14,1,91,22.31,0.000%,.30020,0.08,0.12,265.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetPlant,20,18,1,109,29.36,0.000%,.20016,0.05,0.07,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GoodsInwardNotes,20,1024,91,17039,3675.00,55.000%,.93954,35.08,16.31,38233.7
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetApplicationPreferencesSetting,10,11,6,24,5.36,0.000%,4.07664,2.42,1.85,609.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetGRNTypeList,10,13,4,47,13.57,0.000%,4.01445,6.73,1.83,1717.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetRackForRMGIN,10,16,4,94,26.53,0.000%,4.01445,5.54,1.79,1412.0
http://192.168.2.5/ACCSSPLDRYRUN/Notification/Getnotitfication,30,122,1,2181,439.87,0.000%,.30494,0.08,0.14,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/FillCustomerNVendorDropdownListByGin,10,2,2,7,1.47,0.000%,4.01929,0.99,1.99,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/FillCustomerNVendorPoNSoDropdownList,10,1007,378,1666,525.98,100.000%,3.33111,153.15,1.62,47080.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetPoSoDeatils,10,55,28,124,36.66,0.000%,3.76223,2.66,1.82,723.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetStorePlantGrnTypeWise,10,20,4,117,33.98,0.000%,3.64964,1.10,1.54,309.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/CustomerNVendorItems,10,79,53,132,25.15,0.000%,3.49284,1.12,1.90,329.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/CustomerNVendorItemsDetails,10,346,162,665,142.80,0.000%,3.32668,7.47,1.83,2298.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetInvoicedata,10,55,2,232,79.12,0.000%,3.51617,0.87,1.72,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/SendMailToSalePerson,10,1569,5,15027,4486.41,10.000%,.28859,1.39,0.20,4934.8
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetGinApprovers?TypeId=4&PlantId=2&GinId=GIN26200057,10,6203,4,16240,7542.16,40.000%,.20128,3.79,0.09,19306.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/SentforQualityCheck,10,10644,1185,18037,6597.84,60.000%,.17308,4.79,0.21,28348.8
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetGinDetailsByDate,10,3375,19,30011,8932.86,10.000%,.10525,0.63,0.06,6117.2
Test,10,27022,3444,58626,15370.50,100.000%,.09978,227.31,10.69,2332816.2
TOTAL,300,1801,1,58626,6499.10,21.000%,2.99332,454.61,21.39,155521.1
