Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
http://192.168.2.5/ACCSSPLDRYRUN/Store/ListGoodsInwardNotes,30,512,121,1441,446.82,100.000%,.14159,102.87,4.37,743971.7
http://192.168.2.5/ACCSSPLDRYRUN/Home/GetPlant,40,13,2,84,23.13,0.000%,.18907,0.05,0.08,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Master/GetPageAccessDetails,40,12,1,87,22.59,0.000%,.18909,0.05,0.08,265.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetPlant,30,8,1,46,12.14,0.000%,.14182,0.04,0.05,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GoodsInwardNotes,20,880,37,15042,3250.86,55.000%,.15832,5.91,2.75,38241.8
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetApplicationPreferencesSetting,10,3009,6,30011,9000.37,10.000%,.28096,0.25,0.13,922.4
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetGRNTypeList,10,3009,4,30008,8999.40,10.000%,.15246,0.29,0.07,1919.6
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetRackForRMGIN,10,3012,4,30020,9002.67,10.000%,.10459,0.17,0.05,1645.1
http://192.168.2.5/ACCSSPLDRYRUN/Store/FillCustomerNVendorDropdownListByGin,10,2,2,3,0.40,0.000%,.10459,0.03,0.05,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Notification/Getnotitfication,30,36,1,1033,185.03,0.000%,.14465,0.04,0.06,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/FillCustomerNVendorPoNSoDropdownList,10,3349,366,30008,8886.16,100.000%,.07961,3.32,0.04,42746.3
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetPoSoDeatils,10,31,27,46,5.29,0.000%,.07983,0.06,0.04,710.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetStorePlantGrnTypeWise,10,1513,4,15036,4507.64,10.000%,.07985,0.39,0.03,4986.1
http://192.168.2.5/ACCSSPLDRYRUN/Store/CustomerNVendorItems,10,1526,11,15036,4503.08,10.000%,.07985,0.39,0.04,5007.7
http://192.168.2.5/ACCSSPLDRYRUN/Store/CustomerNVendorItemsDetails,10,1645,95,15036,4463.97,10.000%,.07982,0.54,0.04,6912.1
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetPrimaryUOMonDC,10,1575,35,15037,4488.26,100.000%,.07968,3.66,0.05,47080.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetInvoicedata,10,2,2,4,0.67,0.000%,.07970,0.02,0.04,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/SendMailToSalePerson,10,1513,5,15037,4507.90,10.000%,.07972,0.38,0.05,4934.8
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetGinApprovers?TypeId=14&PlantId=2&GinId=GIN26200065,10,1513,4,15036,4507.67,10.000%,.07972,0.40,0.03,5140.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/SentforQualityCheck,10,5414,779,15837,6578.72,30.000%,.07923,1.11,0.08,14300.4
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetGinDetailsByDate,10,24017,20,30009,11982.26,80.000%,.05900,0.23,0.03,3976.0
Test,10,54671,33118,123206,34671.41,100.000%,.04717,113.00,6.66,2452775.1
TOTAL,350,3124,1,123206,12145.25,25.714%,1.65109,225.99,13.33,140158.6
