Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
http://192.168.2.5/ACCSSPLDRYRUN/Store/ListGoodsInwardNotes,20,703,128,1604,539.14,100.000%,.18050,190.41,5.43,1080220.0
http://192.168.2.5/ACCSSPLDRYRUN/Home/GetPlant,30,66,2,796,190.88,0.000%,.27132,0.07,0.12,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Master/GetPageAccessDetails,30,15,2,105,24.00,0.000%,.27139,0.07,0.11,265.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetPlant,20,33,1,169,57.38,0.000%,.18098,0.04,0.06,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GoodsInwardNotes,20,2457,58,15071,5295.59,65.000%,.98819,41.42,17.17,42916.4
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetApplicationPreferencesSetting,10,25,9,71,22.73,0.000%,2.66596,1.59,1.21,609.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetGRNTypeList,10,92,5,600,175.80,0.000%,2.30574,3.87,1.05,1717.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetRackForRMGIN,10,24,5,88,30.94,0.000%,2.30521,7.97,1.03,3539.0
http://192.168.2.5/ACCSSPLDRYRUN/Notification/Getnotitfication,30,25,1,569,101.67,0.000%,.28279,0.07,0.13,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/FillCustomerNVendorDropdownListByGin,10,65,2,591,175.65,0.000%,2.30840,0.57,1.15,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetRetunableWithoutPO,10,989,462,2081,496.04,100.000%,2.07943,95.61,0.98,47080.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetStorePlantGrnTypeWise,10,75,4,373,127.59,0.000%,2.55951,1.64,1.08,658.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/CustomerNVendorItems,10,86,30,227,62.78,0.000%,2.53100,0.63,1.31,255.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/CustomerNVendorItemsDetails,10,128,47,300,78.35,0.000%,2.54065,0.89,1.33,357.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetPrimaryUOMonDC,10,139,31,880,248.76,100.000%,2.59538,119.33,1.47,47080.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetInvoicedata,10,7,2,33,9.44,0.000%,2.61712,0.65,1.29,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/SendMailToSalePerson,10,4528,6,15048,6885.56,30.000%,.29668,4.14,0.20,14300.4
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetGinApprovers?TypeId=19&PlantId=1&GinId=GIN26100159,10,4529,6,15056,6889.13,30.000%,.20515,2.94,0.09,14686.1
http://192.168.2.5/ACCSSPLDRYRUN/Store/SentforQualityCheck,10,10258,1950,16870,6706.59,60.000%,.15682,4.34,0.27,28349.2
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetGinDetailsByDate,10,30008,30007,30012,1.68,100.000%,.09288,0.34,0.05,3743.0
Test,10,57671,34493,94593,24820.34,100.000%,.07101,167.26,7.65,2411971.5
TOTAL,300,3844,1,94593,12591.71,28.333%,2.13029,334.52,15.30,160798.1
