Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
http://192.168.2.5/ACCSSPLDRYRUN/Store/ListGoodsInwardNotes,20,570,129,1205,447.24,100.000%,.08408,88.70,2.53,1080220.0
http://192.168.2.5/ACCSSPLDRYRUN/Home/GetPlant,30,19,1,78,24.06,0.000%,.12627,0.03,0.06,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Master/GetPageAccessDetails,30,11,2,81,18.82,0.000%,.12628,0.03,0.05,265.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetPlant,20,11,2,69,19.48,0.000%,.08419,0.02,0.03,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GoodsInwardNotes,20,1669,38,15041,4460.93,60.000%,.20946,8.30,3.64,40579.1
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetApplicationPreferencesSetting,10,12,5,62,16.57,0.000%,2.79564,1.66,1.27,609.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetGRNTypeList,10,5,3,9,1.70,0.000%,2.84091,4.76,1.30,1717.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetRackForRMGIN,10,5,4,9,1.35,0.000%,2.84333,9.83,1.27,3539.0
http://192.168.2.5/ACCSSPLDRYRUN/Notification/Getnotitfication,30,2,1,4,0.64,0.000%,.11279,0.03,0.05,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/FillCustomerNVendorDropdownListByGin,10,2,2,5,0.90,0.000%,2.84900,0.70,1.42,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/FillCustomerNVendorPoNSoDropdownList,10,501,373,753,130.94,100.000%,2.53165,116.40,1.23,47080.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetPoSoDeatils,10,1543,26,15054,4503.68,10.000%,.53714,2.80,0.26,5345.2
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetStorePlantGrnTypeWise,10,3015,4,15076,6020.16,20.000%,.29707,2.81,0.13,9672.8
http://192.168.2.5/ACCSSPLDRYRUN/Store/CustomerNVendorItems,10,3032,10,15077,6013.86,20.000%,.20519,1.94,0.11,9675.2
http://192.168.2.5/ACCSSPLDRYRUN/Store/CustomerNVendorItemsDetails,10,3195,105,15120,5945.77,20.000%,.15680,1.74,0.09,11358.4
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetPrimaryUOMonDC,10,3034,31,15036,5999.95,100.000%,.12730,5.85,0.07,47080.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetInvoicedata,10,2,1,3,0.45,0.000%,.12735,0.03,0.06,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/SendMailToSalePerson,10,4515,5,15037,6887.09,30.000%,.09216,1.29,0.06,14300.4
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetGinApprovers?TypeId=22&PlantId=1&GinId=GIN26100160,10,4515,4,15041,6889.05,30.000%,.08095,1.14,0.04,14380.2
http://192.168.2.5/ACCSSPLDRYRUN/Store/SentforQualityCheck,10,4835,432,15040,6679.65,30.000%,.07217,1.01,0.05,14300.4
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetGinDetailsByDate,10,30099,30008,30911,270.64,100.000%,.05097,0.19,0.03,3743.0
Test,10,62919,32080,167514,50483.26,100.000%,.03733,88.50,4.01,2427723.8
TOTAL,310,4059,1,167514,15405.45,28.387%,1.15725,177.01,8.02,156627.3
