Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
http://192.168.2.5/ACCSSPLDRYRUN/Store/ListGoodsInwardNotes,20,616,103,1292,467.71,100.000%,.10479,110.55,3.15,1080220.0
http://192.168.2.5/ACCSSPLDRYRUN/Home/GetPlant,30,17,2,94,23.98,0.000%,.15797,0.04,0.07,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Master/GetPageAccessDetails,30,15,2,82,22.01,0.000%,.15801,0.04,0.06,265.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetPlant,20,20,1,95,28.59,0.000%,.10536,0.03,0.04,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GoodsInwardNotes,20,2408,63,15057,5310.84,65.000%,.25076,10.51,4.37,42902.8
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetApplicationPreferencesSetting,10,25,5,152,43.17,0.000%,2.98597,1.78,1.35,609.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetGRNTypeList,20,18,4,130,32.77,0.000%,5.80889,6.96,2.65,1227.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetRackForRMGIN,10,24,4,93,33.59,0.000%,2.91290,10.07,1.30,3539.0
http://192.168.2.5/ACCSSPLDRYRUN/Notification/Getnotitfication,40,10,1,137,24.57,0.000%,.21323,0.05,0.09,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/FillCustomerNVendorDropdownListByGin,10,8,2,32,9.35,0.000%,2.86697,0.71,1.43,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/FillCustomerNVendorPoNSoDropdownList,10,486,362,822,144.13,100.000%,2.32180,106.75,1.15,47080.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetCustInvDetails,10,14,2,54,16.61,0.000%,2.53357,0.63,1.18,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetInvNoList,20,44,32,131,25.07,100.000%,4.99127,229.48,2.51,47080.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/SearchInvoiceDetails,10,2038,386,15787,4584.72,10.000%,.50697,2.62,0.23,5297.5
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetStorePlantGrnTypeWise,10,3038,4,15047,6001.70,20.000%,.29283,2.77,0.12,9673.6
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetInvoiceItem,10,3061,20,15005,5971.87,0.000%,.20346,0.06,0.12,315.4
http://192.168.2.5/ACCSSPLDRYRUN/Store/GRNInvoiceItemDetails,10,4580,81,15036,6844.69,30.000%,.15586,2.40,0.10,15738.2
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetInvoiceLotDetails,10,4594,165,15005,6660.05,0.000%,.12764,0.04,0.06,349.8
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetInvoicedata,10,93,2,753,222.07,0.000%,.12814,0.03,0.06,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/SendMailToSalePerson,10,4823,340,15037,6685.93,30.000%,.12773,1.78,0.11,14300.4
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetGinApprovers?TypeId=12&PlantId=1&GinId=GIN26100162,10,4524,3,15039,6881.76,30.000%,.12861,1.82,0.06,14527.9
http://192.168.2.5/ACCSSPLDRYRUN/Store/SentforQualityCheck,10,8516,737,16117,7118.16,60.000%,.12599,3.49,0.15,28348.8
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetGinDetailsByDate,10,9019,23,30011,13740.37,30.000%,.05596,1.09,0.03,20036.2
Test,10,51208,19657,80090,22638.98,100.000%,.05239,128.23,5.79,2506506.3
TOTAL,360,2844,1,80090,10125.44,26.111%,1.88594,256.46,11.57,139250.4
