Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
http://192.168.2.5/ACCSSPLDRYRUN/Store/ListGoodsInwardNotes,20,634,128,1409,487.21,100.000%,.10267,108.31,3.09,1080220.0
http://192.168.2.5/ACCSSPLDRYRUN/Home/GetPlant,30,13,2,102,21.05,0.000%,.15461,0.04,0.07,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Master/GetPageAccessDetails,30,12,1,73,19.55,0.000%,.15469,0.04,0.06,265.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetPlant,20,14,2,79,21.27,0.000%,.10314,0.03,0.04,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GoodsInwardNotes,20,3132,42,15058,5959.62,70.000%,.25054,11.07,4.36,45253.7
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetApplicationPreferencesSetting,10,8,5,16,3.00,0.000%,2.96121,1.76,1.34,609.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetGRNTypeList,10,6,4,12,2.55,0.000%,2.96472,4.97,1.35,1717.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetRackForRMGIN,10,4,3,6,1.00,0.000%,2.96648,4.09,1.32,1412.0
http://192.168.2.5/ACCSSPLDRYRUN/Notification/Getnotitfication,30,4,1,30,5.76,0.000%,.15739,0.04,0.07,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/FillCustomerNVendorDropdownListByGin,10,4,1,20,5.40,0.000%,2.97354,0.73,1.48,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/FillCustomerNVendorPoNSoDropdownList,10,707,397,1015,209.46,100.000%,2.28571,105.09,1.11,47080.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetPoSoDeatils,10,44,30,79,17.56,0.000%,2.49813,1.67,1.21,686.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetStorePlantGrnTypeWise,10,3027,4,15057,6009.24,20.000%,.52621,4.99,0.22,9718.4
http://192.168.2.5/ACCSSPLDRYRUN/Store/CustomerNVendorItems,10,3048,10,15039,5994.68,20.000%,.29381,2.78,0.16,9677.6
http://192.168.2.5/ACCSSPLDRYRUN/Store/CustomerNVendorItemsDetails,10,3294,132,15076,5886.93,20.000%,.20366,2.26,0.11,11366.4
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetPrimaryUOMonDC,10,6041,29,15080,7357.17,100.000%,.15619,7.18,0.09,47080.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetInvoicedata,10,1,1,3,0.54,0.000%,.15626,0.04,0.08,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/SendMailToSalePerson,10,6033,5,15052,7356.01,40.000%,.10631,1.97,0.07,18983.2
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetGinApprovers?TypeId=11&PlantId=2&GinId=GIN26200066,10,6025,3,15058,7363.09,40.000%,.09166,1.72,0.04,19180.6
http://192.168.2.5/ACCSSPLDRYRUN/Store/SentforQualityCheck,10,8412,518,16276,7103.29,60.000%,.09048,2.50,0.11,28348.8
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetGinDetailsByDate,10,20343,23,30019,13424.13,70.000%,.05898,0.71,0.03,12301.0
Test,10,64655,33665,109760,30121.66,100.000%,.05133,123.42,5.53,2462432.4
TOTAL,310,4171,1,109760,13635.48,29.355%,1.59110,246.85,11.07,158866.6
