Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
http://192.168.2.5/ACCSSPLDRYRUN/Store/ListGoodsInwardNotes,20,510,174,1055,352.20,100.000%,.11082,116.91,3.33,1080220.0
http://192.168.2.5/ACCSSPLDRYRUN/Home/GetPlant,30,13,1,71,19.88,0.000%,.16684,0.04,0.07,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Master/GetPageAccessDetails,30,9,1,56,14.72,0.000%,.16688,0.04,0.07,265.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetPlant,20,12,1,54,14.62,0.000%,.11127,0.03,0.04,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GoodsInwardNotes,20,99,36,223,60.08,50.000%,.58829,20.63,10.25,35904.5
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetApplicationPreferencesSetting,10,2980,5,29711,8910.17,10.000%,.29937,1.54,0.14,5256.1
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetGRNTypeList,10,6,4,9,1.72,0.000%,.29943,0.50,0.14,1717.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetRackForRMGIN,10,5,4,15,3.16,0.000%,.29945,0.41,0.13,1412.0
http://192.168.2.5/ACCSSPLDRYRUN/Notification/Getnotitfication,30,2,1,16,2.62,0.000%,.16981,0.04,0.08,253.0
https://play.google.com/log?format=json&hasfast=true&authuser=0,10,171,155,221,18.45,100.000%,.29789,0.65,6.89,2237.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/FillCustomerNVendorDropdownListByGin,10,5,2,31,8.51,0.000%,.29943,0.07,0.15,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/FillCustomerNVendorPoNSoDropdownList,10,433,34,681,154.08,100.000%,.29915,13.75,0.15,47080.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetPoSoDeatils,10,44,28,82,16.50,0.000%,.30248,0.21,0.15,711.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetStorePlantGrnTypeWise,10,6,4,9,1.55,0.000%,.30278,0.18,0.13,602.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/CustomerNVendorItems,10,1551,10,15045,4497.76,10.000%,.30274,1.48,0.17,5017.6
http://192.168.2.5/ACCSSPLDRYRUN/Store/CustomerNVendorItemsDetails,10,1773,107,15037,4422.80,10.000%,.30226,2.00,0.17,6791.5
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetPrimaryUOMonDC,10,37,32,57,7.36,100.000%,.30622,14.08,0.18,47080.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetInvoicedata,20,2,1,9,1.72,0.000%,.61301,0.15,0.30,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/SendMailToSalePerson,10,1510,5,15034,4508.00,10.000%,.30692,1.48,0.21,4934.8
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetGinApprovers?TypeId=10&PlantId=2&GinId=GIN26200067,10,1508,4,15038,4509.70,10.000%,.30700,1.78,0.13,5921.2
http://192.168.2.5/ACCSSPLDRYRUN/Store/SentforQualityCheck,10,7362,316,16816,6385.35,70.000%,.25674,8.28,0.76,33031.9
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetGinDetailsByDate,10,74,22,175,66.30,0.000%,.08415,1.46,0.04,17824.0
Test,10,18799,2474,38855,14413.72,100.000%,.05540,130.68,7.38,2415443.1
TOTAL,330,1139,1,38855,4902.72,24.848%,1.82824,261.36,14.77,146390.5
