Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
http://192.168.2.5/ACCSSPLDRYRUN/Store/ListGoodsInwardNotes,20,593,124,1300,462.79,100.000%,.05397,56.94,1.62,1080227.6
http://192.168.2.5/ACCSSPLDRYRUN/Home/GetPlant,30,15,2,80,23.26,0.000%,.08112,0.02,0.04,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Master/GetPageAccessDetails,30,11,2,63,18.32,0.000%,.08113,0.02,0.03,265.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetPlant,20,17,1,68,23.80,0.000%,.05409,0.01,0.02,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Notification/Getnotitfication,50,8,1,71,16.19,0.000%,.13526,0.03,0.06,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GoodsInwardNotes,20,1808,98,15052,4419.21,60.000%,.14003,5.55,2.67,40571.9
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetApplicationPreferencesSetting,10,10,6,25,5.62,0.000%,1.60514,0.95,0.73,609.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetGRNTypeList,10,12,4,39,11.38,0.000%,1.60591,2.69,0.73,1717.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetRackForRMGIN,10,11,4,22,6.21,0.000%,1.60179,2.21,0.71,1412.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/FillCustomerNVendorDropdownListByGin,10,2,2,2,0.00,0.000%,1.60282,0.40,0.80,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/FillCustomerNVendorPoNSoDropdownList,10,532,369,985,164.51,100.000%,1.49410,68.69,0.73,47080.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetPoSoDeatils,10,42,32,73,11.55,0.000%,1.57233,3.77,0.76,2453.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetStorePlantGrnTypeWise,10,7,3,16,4.30,0.000%,1.57903,0.48,0.67,310.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/CustomerNVendorItems,60,1061,12,15041,3735.35,6.667%,.53485,1.81,0.29,3463.5
http://192.168.2.5/ACCSSPLDRYRUN/Store/CustomerNVendorItemsDetails,60,1356,168,15037,3656.93,6.667%,.47168,2.45,0.26,5308.7
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetInvoicedata,10,4,2,25,6.83,0.000%,.08013,0.02,0.04,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/SendMailToSalePerson,10,6020,6,15036,7360.68,40.000%,.06485,1.20,0.05,18983.2
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetGinApprovers?TypeId=5&PlantId=2&GinId=GIN26200068,10,6020,3,15047,7365.62,40.000%,.05909,1.11,0.03,19237.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/SentforQualityCheck,10,10043,1435,16686,6639.90,60.000%,.05427,1.50,0.10,28348.8
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetGinDetailsByDate,10,25546,23,30011,9561.39,90.000%,.04029,0.37,0.02,9484.8
Test,10,67725,36354,182983,42893.84,100.000%,.02698,63.97,3.18,2427697.5
TOTAL,420,3225,1,182983,13173.37,19.762%,1.13325,127.94,6.35,115604.6
