Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
http://192.168.2.5/ACCSSPLDRYRUN/Home/GetQuickMenu,10,850,120,3187,3187,3253,6,3253,0.000%,2.57467,0.67,0.99
http://192.168.2.5/ACCSSPLDRYRUN/Notification/Getnotitfication,50,25,2,74,135,341,1,341,0.000%,.67388,0.17,0.29
http://192.168.2.5/ACCSSPLDRYRUN/sales/ListInvoice,10,3485,3445,4615,4615,4862,1204,4862,100.000%,1.87652,3828.12,51.94
http://192.168.2.5/ACCSSPLDRYRUN/Home/GetPlant,30,44,8,96,130,394,2,394,0.000%,.43161,0.11,0.19
http://192.168.2.5/ACCSSPLDRYRUN/Master/GetPageAccessDetails,40,13,2,41,57,66,2,66,0.000%,.57573,0.15,0.24
http://192.168.2.5/ACCSSPLDRYRUN/Sales/GetRunIRNVal,20,22,8,49,76,91,4,91,0.000%,.28802,0.08,0.11
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetPlant,20,25,7,74,78,115,1,115,0.000%,.28814,0.07,0.10
http://192.168.2.5/ACCSSPLDRYRUN/Sales/GetInvoicetype,40,32,8,104,123,311,2,311,0.000%,.57719,0.30,0.25
http://192.168.2.5/ACCSSPLDRYRUN/Sales/GenInvoiceList,20,524,502,584,596,672,464,672,0.000%,.28717,0.24,0.15
http://192.168.2.5/ACCSSPLDRYRUN/Sales/ManageInvoice?InvoiceTypeId=1&InvoiceNo=NA&Handle=AddInvoice,10,221,202,312,312,339,169,339,100.000%,1.36054,94.97,44.24
http://192.168.2.5/ACCSSPLDRYRUN/Sales/GetPlant,10,10,2,12,12,77,1,77,0.000%,1.31234,0.32,0.58
http://192.168.2.5/ACCSSPLDRYRUN/Sales/GetAllDropDownsForSO,10,3,2,7,7,18,1,18,0.000%,1.30976,0.32,0.47
http://192.168.2.5/ACCSSPLDRYRUN/Sales/GetTransportMode,10,12,10,26,26,35,4,35,0.000%,1.30565,1.01,0.57
http://192.168.2.5/ACCSSPLDRYRUN/Sales/GetCustomerForInvoice,40,80,28,166,409,561,17,561,0.000%,4.34075,6.57,2.07
http://192.168.2.5/ACCSSPLDRYRUN/Sales/GetSoTypeListForInvoice,10,74,17,106,106,500,9,500,0.000%,1.09589,0.32,0.53
http://192.168.2.5/ACCSSPLDRYRUN/Sales/GetSoListForInvoice,10,517,440,621,621,1004,404,1004,0.000%,1.05119,0.68,0.51
http://192.168.2.5/ACCSSPLDRYRUN/sales/GetSoItemDetailsinv,10,50,18,92,92,242,6,242,0.000%,1.09697,7.97,0.52
http://192.168.2.5/ACCSSPLDRYRUN/Master/GetCities,10,14,3,25,25,77,2,77,0.000%,1.09769,0.27,0.48
http://192.168.2.5/ACCSSPLDRYRUN/Sales/GetOpenSOList,10,13,8,28,28,29,7,29,0.000%,1.09709,0.27,0.55
http://192.168.2.5/ACCSSPLDRYRUN/sales/GetSoItemCount,10,43,9,40,40,300,4,300,0.000%,1.09757,0.29,0.54
http://192.168.2.5/ACCSSPLDRYRUN/sales/GetSoDetailsinv,10,1283,949,2077,2077,3077,923,3077,0.000%,.85172,3.75,0.42
http://192.168.2.5/ACCSSPLDRYRUN/Sales/GetValidTCSTaxFroCust,30,878,651,1490,1517,1907,500,1907,0.000%,2.10143,0.52,1.14
http://192.168.2.5/ACCSSPLDRYRUN/Sales/GetCustDispatchSchedule,10,106,16,413,413,469,8,469,0.000%,.82122,0.29,0.41
http://192.168.2.5/ACCSSPLDRYRUN/Sales/InvoiceLotQtyIsValid,10,666,637,853,853,959,502,959,0.000%,.75861,0.24,0.56
http://192.168.2.5/ACCSSPLDRYRUN/Sales/InvoiceJWLotQtyIsValid,10,200,94,446,446,762,35,762,0.000%,.78846,0.20,0.36
http://192.168.2.5/ACCSSPLDRYRUN/Sales/GetSORemainingQty,10,21,20,35,35,35,8,35,0.000%,.79821,0.25,0.53
http://192.168.2.5/ACCSSPLDRYRUN/Sales/ManageInvoice,10,7,7,9,9,17,4,17,0.000%,.79821,0.20,2.37
http://192.168.2.5/ACCSSPLDRYRUN/Sales/GetJsonData,10,4,3,5,5,16,2,16,0.000%,.79859,0.20,0.37
http://192.168.2.5/ACCSSPLDRYRUN/Sales/GenerateEInvoice,10,65,54,93,93,136,51,136,0.000%,.79554,0.23,2.81
http://192.168.2.5/ACCSSPLDRYRUN/SALES/ListInvoice,10,192,195,218,218,236,142,236,100.000%,.20927,14.61,6.79
Test,10,12390,11735,14804,14804,15711,10319,15711,100.000%,.13431,296.98,16.11
TOTAL,510,485,22,699,1490,11735,1,15711,7.843%,6.84987,593.96,32.22
