Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Manage Invoice,200,116073,3553,234469,62647.86637,90%,0.229588703,24.34926983,4.10412228,108601.39
http://192.168.2.5/ACCSSPLDRYRUN/Sales/GetRunIRNVal,200,17886,3,31155,12855.73433,58%,0.24725791,2.399411039,0.096826584,9936.98
http://192.168.2.5/ACCSSPLDRYRUN/Sales/GetOpenSOList,200,13403,7,41030,14832.58673,45%,0.252504211,1.074563231,0.127485036,4357.76
http://192.168.2.5/ACCSSPLDRYRUN/Sales/InvoiceJWLotQtyIsValid,200,12540,34,40813,14356.21592,42%,0.252178825,1.256786369,0.115007335,5103.32
http://192.168.2.5/ACCSSPLDRYRUN/Sales/GetSORemainingQty,200,9534,9,32389,12914.64749,31%,0.252192181,1.230897329,0.167225088,4997.93
Add invoice,200,11904,29,63768,19710.5587,27%,0.252679668,11.81710383,1.051601452,47889.545
http://192.168.2.5/ACCSSPLDRYRUN/sales/GetSoItemDetailsinv,200,8235,7,40434,13354.61039,26%,0.252503892,1.807405103,0.120827058,7329.72
http://192.168.2.5/ACCSSPLDRYRUN/Sales/InvoiceLotQtyIsValid,200,8719,497,30042,11709.46291,25%,0.252032008,0.599052271,0.184839881,2433.935
http://192.168.2.5/ACCSSPLDRYRUN/sales/GetSoItemCount,200,7450,5,35030,11782.70818,22%,0.252505804,0.67058292,0.12329385,2719.45
http://192.168.2.5/ACCSSPLDRYRUN/Sales/GetInvoicetype,600,5996,2,34390,11200.72102,19%,0.689068276,2.497854557,0.288457618,3711.973333
http://192.168.2.5/ACCSSPLDRYRUN/Sales/GetCustDispatchSchedule,200,4041,5,34623,9124.98591,13%,0.252214443,0.876277703,0.126846131,3557.72
http://192.168.2.5/ACCSSPLDRYRUN/Sales/GenInvoiceList,200,6040,472,30706,7915.090647,10%,0.256684712,1.193671643,0.135611747,4761.95
http://192.168.2.5/ACCSSPLDRYRUN/Sales/GetTransportMode,200,3137,3,30649,8786.91302,10%,0.252722133,0.265547041,0.110565933,1075.965
http://192.168.2.5/ACCSSPLDRYRUN/Sales/GetCustomerForInvoice,400,2349,8,30341,7141.10795,7%,0.505430216,1.640090202,0.240622295,3322.8175
http://192.168.2.5/ACCSSPLDRYRUN/sales/GetSoDetailsinv,200,6742,872,31056,6844.035931,6%,0.251887265,1.203344673,0.123237812,4891.97
http://192.168.2.5/ACCSSPLDRYRUN/Sales/GetSoListForInvoice,200,6457,189,30018,4601.60993,2%,0.252434733,0.280596983,0.123012629,1138.24
http://192.168.2.5/ACCSSPLDRYRUN/Sales/GetSoTypeListForInvoice,200,481,10,30014,3024.380547,1%,0.252717663,0.083268495,0.121422939,337.4
http://192.168.2.5/ACCSSPLDRYRUN/Sales/ManageInvoice?InvoiceTypeId=1&InvoiceNo=NA&Handle=AddInvoice,200,65,8,1860,250.8646934,0%,0.252702974,10.18315003,0.202527614,41264.04
http://192.168.2.5/ACCSSPLDRYRUN/Home/GetPlant,400,13,1,990,73.7324174,0%,0.459417895,0.113508523,0.203687231,253
http://192.168.2.5/ACCSSPLDRYRUN/Master/GetPageAccessDetails,600,17,1,1263,105.8624736,0%,0.689131591,0.178339718,0.283324609,265
http://192.168.2.5/ACCSSPLDRYRUN/Sales/GetPlant,200,20,1,1808,130.2336589,0%,0.252717982,0.062439111,0.112291681,253
http://192.168.2.5/ACCSSPLDRYRUN/Sales/GetAllDropDownsForSO,200,21,1,652,75.01079106,0%,0.252721495,0.062439979,0.090821787,253
http://192.168.2.5/ACCSSPLDRYRUN/Notification/Getnotitfication,400,17,1,359,46.46047884,0%,0.459176352,0.113448845,0.204028555,253
http://192.168.2.5/ACCSSPLDRYRUN/Master/GetCities,200,27,1,4202,297.2709107,0%,0.252506123,0.062386767,0.110224841,253
http://192.168.2.5/ACCSSPLDRYRUN/Sales/ManageInvoice,200,12,6,222,16.35464384,0%,0.252194407,0.062309751,0.740574786,253
http://192.168.2.5/ACCSSPLDRYRUN/Sales/GetJsonData,200,20,1,3323,234.178373,0%,0.252196315,0.062310222,0.116246739,253
http://192.168.2.5/ACCSSPLDRYRUN/Sales/GenerateEInvoice,200,131,43,11057,779.4548184,0%,0.252182323,0.073388996,0.893227817,298
http://192.168.2.5/ACCSSPLDRYRUN/SALES/ListInvoice,200,186,8,15461,1126.864801,0%,0.247190372,9.940722204,0.210256655,41180
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetPlant,200,16,1,810,81.74164422,0%,0.256786877,0.063444414,0.089273563,253
TOTAL,7200,7109,1,234469,23164.69939,13%,8.263827277,70.16135293,10.11757518,8693.940833
