Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
http://192.168.2.5/ACCSSPLDRYRUN/Home/GetQuickMenu,50,239,6,830,192.68,0.000%,4.98107,1.30,1.93,268.0
http://192.168.2.5/ACCSSPLDRYRUN/Production/ListMixingTag,250,2051,93,16155,3607.92,100.000%,.55646,247.87,17.53,456129.7
http://192.168.2.5/ACCSSPLDRYRUN/Home/GetPlant,350,18,1,2394,136.17,0.000%,.79193,0.20,0.35,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Master/GetPageAccessDetails,350,18,1,3536,189.55,0.000%,.79229,0.21,0.33,265.0
http://192.168.2.5/ACCSSPLDRYRUN/Sales/GetPlant,350,8,1,378,31.36,0.000%,.79244,0.20,0.35,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Production/GetAllMixtureTag,700,10943,44,33096,12556.54,31.000%,1.58441,7.82,0.78,5055.5
http://192.168.2.5/ACCSSPLDRYRUN/Notification/Getnotitfication,350,13,1,680,49.14,0.000%,.79308,0.20,0.35,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Production/ManageMixingTag?MXId=0&strPORevision=1&Handle=insmixtag,50,190,98,490,56.11,100.000%,.74449,51.97,24.21,71484.1
http://192.168.2.5/ACCSSPLDRYRUN/Production/GetItemForMixture,200,15705,31,31620,13680.86,48.500%,1.12193,4.85,0.52,4427.2
http://192.168.2.5/ACCSSPLDRYRUN/Production/GetWoForMixture,50,20945,60,32010,13101.21,100.000%,.25908,5.55,0.12,21944.5
http://192.168.2.5/ACCSSPLDRYRUN/Production/getWoQTy,50,7,2,37,7.97,0.000%,.26039,0.06,0.13,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Production/getRmForMixture,50,22298,831,32040,10136.03,88.000%,.24148,6.10,0.12,25862.9
http://192.168.2.5/ACCSSPLDRYRUN/Production/GetRMStockVendors,50,11,1,71,13.37,0.000%,.25420,0.06,0.12,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Production/GetUpdatedLotNoForMT,150,5,1,31,4.25,0.000%,.76252,0.19,0.37,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Production/ManageMixingTag,50,7,4,16,2.86,0.000%,.25418,0.06,0.39,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Metallurgy/PrintMixingTagReport?MXId=1252639,50,9759,36,30022,12181.56,100.000%,.23166,8.49,0.11,37545.9
http://192.168.2.5/ACCSSPLDRYRUN/Production/PrintMixingTagReport?mixingId=1252638&WoNo=CHK/0001/07/2025&BatchNo=3&LotNo=CHK/0001/07/2025/3,50,23672,5082,30316,7910.54,68.000%,.22066,3.66,0.12,16990.1
http://192.168.2.5/ACCSSPLDRYRUN/Production/ManageMixingTag?MXId=1252638&Handle=View,50,302,173,2356,328.23,100.000%,.30408,21.23,9.88,71475.0
http://192.168.2.5/ACCSSPLDRYRUN/Production/getMixTagNoLotNo,50,3,1,17,2.91,0.000%,.30445,0.08,0.14,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Production/GetWeight,50,2,1,11,1.75,0.000%,.30445,0.08,0.14,253.0
Test,50,304153,211127,346836,28641.75,100.000%,.11122,284.99,27.88,2623897.3
TOTAL,3350,9079,1,346836,37771.88,26.627%,7.45173,569.98,55.76,78325.3
