Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
http://192.168.2.5/ACCSSPLDRYRUN/,20,2834,112,7386,2696.04,100.000%,.08700,91.74,2.59,1079812.0
http://192.168.2.5/ACCSSPLDRYRUN/Home/UserLogin,10,47,5,269,75.71,0.000%,3.27332,1.69,1.41,529.0
http://192.168.2.5/ACCSSPLDRYRUN/Home/Index,20,1412,124,3288,1228.23,50.000%,3.33946,5915.18,150.95,1813812.4
Log In,10,8132,6524,9896,846.38,100.000%,.71210,3816.99,83.70,5488843.9
http://192.168.2.5/ACCSSPLDRYRUN/Home/GetPlant,10,56,10,192,49.53,0.000%,3.70508,2.34,2.38,646.0
http://192.168.2.5/ACCSSPLDRYRUN/Quality/GetDueData,10,119,53,294,67.89,0.000%,3.69140,2.80,2.34,778.0
http://192.168.2.5/ACCSSPLDRYRUN/Notification/Getnotitfication,10,302,68,1026,271.13,0.000%,3.54736,64.00,2.28,18474.0
http://192.168.2.5/ACCSSPLDRYRUN/Home/GetQuickMenu,10,79,9,255,69.65,0.000%,4.17014,2.83,2.65,696.0
http://192.168.2.5/ACCSSPLDRYRUN/Production/ListMachineLoadingPlan,10,8556,5532,13776,3299.67,0.000%,.15630,66.20,13.62,433670.0
http://192.168.2.5/ACCSSPLDRYRUN/Master/GetPageAccessDetails,10,17,4,117,33.28,0.000%,.17134,0.07,0.10,447.0
http://192.168.2.5/ACCSSPLDRYRUN/Production/GetWorkordersAndPlan,10,7035,5157,10654,2358.93,0.000%,.15704,0.35,0.10,2276.0
http://192.168.2.5/ACCSSPLDRYRUN/Production/GetMachineByProcess,10,5,5,7,0.67,0.000%,.17086,0.13,0.11,788.0
http://192.168.2.5/ACCSSPLDRYRUN/Production/ManageMachineLoadingPlan,10,18,15,27,4.08,0.000%,.17083,0.05,0.15,278.0
http://192.168.2.5/ACCSSPLDRYRUN/Production/PrintPressWiseLoadReport?Month=Aug&Year=2025&ProcessCode=FRM&PlantId=2,10,2119,1367,4801,941.60,0.000%,.11749,67.63,1.59,589415.0
Monthly Machine Loading Plan,10,18532,13269,27912,5234.60,100.000%,.06040,75.22,6.44,1275335.0
LogOut,10,186,112,293,45.14,100.000%,.07347,5.10,2.37,71067.0
TOTAL,180,2983,4,27912,5054.49,33.333%,.78256,580.40,22.29,759471.8
