Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
http://192.168.2.5/ACCSSPLDRYRUN/Home/GetQuickMenu,50,1176,4,20520,3703.65,0.000%,1.90100,0.50,0.74,268.0
http://192.168.2.5/ACCSSPLDRYRUN/Master/ProcessFlow,100,25568,172,56453,25684.91,11.000%,.41025,873.83,24.01,2181099.1
http://192.168.2.5/ACCSSPLDRYRUN/Home/GetPlant,100,344,2,3671,879.78,0.000%,.48604,0.12,0.22,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Master/GetPageAccessDetails,100,233,1,6065,819.34,0.000%,.48977,0.13,0.20,265.0
http://192.168.2.5/ACCSSPLDRYRUN/Master/GetAllDropDownsForProcessFlow,100,148,1,2601,436.23,0.000%,.49188,0.12,0.18,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Notification/Getnotitfication,250,65,1,2390,269.00,0.000%,1.23153,0.30,0.55,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Master/processflowItemCode?ItemName=41,50,206,2,1378,406.32,0.000%,2.99312,0.74,0.99,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Master/processflowItemCode?ItemName=418,50,134,1,2426,362.54,0.000%,3.00643,0.74,0.99,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Master/processflowItemCode?ItemName=41824,50,138,1,1391,318.87,0.000%,3.02133,0.75,1.00,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Master/GetItemProcessFlow?Id=41824,50,214,2,3388,553.08,0.000%,3.29794,0.81,1.07,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Master/ReportProcessFlow?ItemCode=41824&RevisionNo=9,50,400,274,1751,232.44,100.000%,1.19042,54.73,0.56,47080.0
http://192.168.2.5/ACCSSPLDRYRUN/Master/GetItemDetailForEdit,50,172,128,412,48.62,0.000%,1.23387,0.31,0.56,255.0
http://192.168.2.5/ACCSSPLDRYRUN/Master/ItemProcessFlow,50,19,15,47,6.78,0.000%,1.30531,0.32,10.25,253.0
Test,50,55378,38591,59377,3431.67,100.000%,.20483,882.89,27.08,4413873.2
TOTAL,1100,5034,1,59377,15326.89,10.091%,4.50618,1765.78,54.16,401261.2
