Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
http://192.168.2.5/ACCSSPLDRYRUN/Home/GetQuickMenu,50,16,3,146,25.27,0.00%,5.62873,1.47,2.19,268
http://192.168.2.5/ACCSSPLDRYRUN/Production/ListProductionLog,50,315,93,3415,567.73,100.00%,0.12896,59.81,4.06,474973
http://192.168.2.5/ACCSSPLDRYRUN/Home/GetPlant,80,4,2,29,5.43,0.00%,0.20817,0.05,0.09,253
http://192.168.2.5/ACCSSPLDRYRUN/Master/GetPageAccessDetails,80,3,2,16,2.85,0.00%,0.20817,0.05,0.09,265
http://192.168.2.5/ACCSSPLDRYRUN/Notification/Getnotitfication,110,3,1,28,5.11,0.00%,0.28624,0.07,0.13,253
http://192.168.2.5/ACCSSPLDRYRUN/Production/ProductionLog,30,80,8,301,106.65,33.33%,0.08351,1.96,1.15,23993.7
http://192.168.2.5/ACCSSPLDRYRUN/Production/GetProdLogtype,10,16,4,76,20.44,0.00%,0.89678,0.51,0.39,584
http://192.168.2.5/ACCSSPLDRYRUN/Production/GetEnableDisableDate,30,235,3,5097,954.8,0.00%,0.08356,0.02,0.03,268
http://192.168.2.5/ACCSSPLDRYRUN/Production/TotalMinHoursByshiftWise,10,701,375,1418,370.47,100.00%,0.86821,39.92,0.4,47080
http://192.168.2.5/ACCSSPLDRYRUN/Production/GetAvailableMinShifts?ProdLogDate=25%2F07%2F2025&Shift=1&MachineCode=&ProcessCode=,10,48,34,125,27.46,100.00%,0.89791,41.28,0.38,47080
http://192.168.2.5/ACCSSPLDRYRUN/Production/GetToolIssue,30,14,3,61,16.57,0.00%,2.50417,0.66,1.21,268
http://192.168.2.5/ACCSSPLDRYRUN/Production/CheckAutoProdLogProcess,20,7,3,39,7.97,0.00%,1.77636,0.47,0.82,270
http://192.168.2.5/ACCSSPLDRYRUN/Production/GetWorkOrderDropDown?ItemCode=&ProdLogTypeId=1&ProcessCode=&LogDate=25%2F07%2F2025,10,38,35,48,3.56,100.00%,0.89767,41.27,0.38,47080
http://192.168.2.5/ACCSSPLDRYRUN/Production/GetAllItems?ItemCode=415&ProdLogTypeId=1,10,44,32,53,6.96,100.00%,0.89775,41.28,0.35,47080
http://192.168.2.5/ACCSSPLDRYRUN/Production/GetAllItems?ItemCode=4158&ProdLogTypeId=1,10,42,33,54,6.41,100.00%,0.89936,41.35,0.35,47080
http://192.168.2.5/ACCSSPLDRYRUN/Production/GetAllItems?ItemCode=41582&ProdLogTypeId=1,10,41,33,62,8.38,100.00%,0.90017,41.39,0.35,47080
http://192.168.2.5/ACCSSPLDRYRUN/Production/GetLatestProcesses?ItemCode=41582&ProdLogTypeId=1,10,11,4,23,6.72,0.00%,0.90326,0.67,0.36,757
http://192.168.2.5/ACCSSPLDRYRUN/Production/GetWorkOrderDropDown?ItemCode=41582&ProdLogTypeId=1&ProcessCode=FRM&LogDate=25%2F07%2F2025,10,41,32,69,13.2,100.00%,0.90245,41.49,0.39,47080
http://192.168.2.5/ACCSSPLDRYRUN/Production/GetWoDetails,10,9,4,14,3.32,0.00%,0.90481,0.28,0.42,322
http://192.168.2.5/ACCSSPLDRYRUN/Production/GetMixtureTag,10,1346,518,2551,639,0.00%,0.86326,0.38,0.43,447
http://192.168.2.5/ACCSSPLDRYRUN/Production/GetItemConversionPlan,10,16,10,39,8.33,0.00%,0.92721,0.24,0.44,270
http://192.168.2.5/ACCSSPLDRYRUN/Production/GetLotNumbers,10,42,35,63,9.97,100.00%,0.92567,42.56,0.5,47080
http://192.168.2.5/ACCSSPLDRYRUN/Production/GetAllProdDropDownList,10,54,33,99,23.15,100.00%,0.92618,42.58,0.44,47080
http://192.168.2.5/ACCSSPLDRYRUN/Production/GetAvailableMinShifts?ProdLogDate=25%2F07%2F2025&Shift=1&MachineCode=160F2&ProcessCode=FRM,10,42,33,57,7.99,100.00%,0.93179,42.84,0.41,47080
http://192.168.2.5/ACCSSPLDRYRUN/Production/GetListProdLogDetailsByDate,40,379,323,647,72.1,100.00%,0.18929,8.7,0.09,47080
http://192.168.2.5/ACCSSPLDRYRUN/Production/ProductionLog?Handle=View&ProdLogId=SHL200120672025,10,134,98,205,39.78,100.00%,0.07358,5.13,2.39,71454
http://192.168.2.5/ACCSSPLDRYRUN/Production/PrintRouteCard?ProdLogId=SHL200120672025,10,5795,4438,9972,2059.6,0.00%,0.07176,0.84,0.03,11943.4
http://192.168.2.5/ACCSSPLDRYRUN/Production/ProductionLog?Handle=Edit&ProdLogId=SHL200120672025,10,167,105,203,36.2,100.00%,0.06853,4.79,2.23,71505.2
Test,10,12885,9228,16295,2224.72,100.00%,0.02575,82.32,7.47,3273663.6
TOTAL,710,362,1,16295,1711.83,32.39%,1.82833,164.65,14.95,92215.9
