Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Home/UserLogin,5,41,17,89,27.95,0.000%,6.60502,3.98,2.51,617.0
Home/Index,10,2108,140,4308,1935.60,50.000%,2.11416,5326.86,91.31,2580075.5
Home/GetPlant,40,14,4,169,28.38,0.000%,.11543,0.07,0.07,646.0
Quality/GetDueData,5,80,60,152,35.88,0.000%,31.25000,23.74,19.78,778.0
Notification/Getnotitfication,40,57,28,155,36.83,0.000%,.11544,2.08,0.07,18474.0
Contrl-Login,5,4247,3822,4633,281.32,0.000%,1.04976,5077.05,92.48,4952473.0
Contrl-Purchase Register Report,5,303,238,337,35.39,100.000%,12.78772,3080.38,15.77,246667.0
Home/GetQuickMenu,5,36,11,63,16.53,0.000%,67.56757,23.56,44.21,357.0
Purchase/PurchaseRegisterReport,35,324,217,595,77.42,0.000%,.11437,31.31,9.84,280337.3
Finance/getallMngUnit,35,6,3,43,7.31,0.000%,.11449,0.09,0.06,816.0
Finance/GetAllProject,35,4,3,8,1.06,0.000%,.11449,0.07,0.06,586.0
Finance/GetAllCustomersegment,35,7,3,74,11.70,0.000%,.11450,0.19,0.06,1709.0
Purchase/GetPlant,35,4,3,7,0.95,0.000%,.11450,0.07,0.06,646.0
Purchase/PrintPurchaseRegisterReport?Plant=&FromDate=01/04/2024&ToDate=07/08/2025&PlantName=ALL&Project=SSPLC001&CostCenter=undefined&ProductGroup=undefined&CustomerSegment=APAC&MgmUnit=M05&Type=Summary,5,1859,1534,2392,293.99,0.000%,.05844,33.66,0.80,589783.0
Purchase/PrintPurchaseRegisterReport?Plant=&FromDate=01/06/2024&ToDate=07/08/2025&PlantName=ALL&Project=SSPLC001&CostCenter=undefined&ProductGroup=undefined&CustomerSegment=APAC&MgmUnit=M05&Type=Summary,5,2032,1753,2961,466.95,0.000%,.04790,19.61,0.67,419189.0
Purchase/PrintPurchaseRegisterReport?Plant=&FromDate=01/01/2023&ToDate=07/08/2025&PlantName=ALL&Project=SSPLC001&CostCenter=undefined&ProductGroup=undefined&CustomerSegment=APAC&MgmUnit=M05&Type=Summary,5,2114,1758,2366,287.72,0.000%,.05112,20.93,0.71,419189.0
Contrl-Purchase Register Report2,5,8043,7389,8804,484.80,0.000%,.02041,58.33,9.99,2926112.4
Purchase/PrintPurchaseRegisterReport?Plant=&FromDate=01/01/2023&ToDate=07/08/2025&PlantName=ALL&Project=&CostCenter=undefined&ProductGroup=undefined&CustomerSegment=&MgmUnit=&Type=Summary,5,10632,9661,11762,672.53,100.000%,.05030,20.59,0.70,419189.0
Purchase/PrintPurchaseRegisterReport?Plant=&FromDate=03/07/2023&ToDate=07/08/2025&PlantName=ALL&Project=&CustomerSegment=&MgmUnit=&Type=Details,5,11245,10569,12068,483.45,100.000%,.05077,20.78,0.71,419189.0
Reserved.ReportViewerWebControl.axd?Culture=16393&CultureOverrides=True&UICulture=1033&UICultureOverrides=True&ReportStack=1&ControlID=550d08eeca6e41748a1351791f004030&Mode=true&OpType=Export&FileName=rptPrintPurchaseDetailsRegisterReport&ContentDisposition=OnlyHtmlInline&Format=EXCELOPENXML,5,20,5,74,26.93,100.000%,.04236,0.15,0.04,3743.0
Contrl-Purchase Register Report3,5,22691,21639,23919,732.86,100.000%,.02557,36.18,5.32,1448553.0
TOTAL,330,1069,3,23919,3466.27,9.091%,.93989,266.28,22.40,290115.3
