Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Home/UserLogin,20,45,35,75,102,236,7,236,0.000%,.20404,0.11,0.10
Home/Index,40,1881,258,6893,7028,7280,124,7280,75.000%,.39921,551.77,18.30
Home/GetPlant,60,36,6,107,122,324,4,587,0.000%,.38675,0.24,0.25
Quality/GetDueData,20,129,86,204,256,655,48,655,0.000%,.21756,0.17,0.14
Notification/Getnotitfication,100,112,53,231,303,703,28,1262,0.000%,.62403,11.26,0.40
Cntrl- Login,20,3912,2174,7183,7392,7539,453,7539,50.000%,.19896,509.75,18.73
Home/GetQuickMenu,20,18,8,59,61,62,5,62,0.000%,.21766,0.09,0.14
STORE/ListStockDetails,20,400,327,430,478,1641,273,1641,0.000%,.16743,51.21,14.65
Sales/GetPlant,20,15,5,16,46,148,4,148,0.000%,.16780,0.11,0.11
Store/GetStoresForStock,20,408,279,698,703,1301,211,1301,0.000%,.16756,6.86,0.09
Cntrl- Navigation to Stock Details,20,1308,1103,1518,2740,3877,761,3877,100.000%,.12822,77.88,11.78
Store/GetStockDetailsOnStore,40,1958,1155,4359,6438,6783,261,6783,15.000%,.32579,786.41,0.24
Cntrl- Stock Details with all Input Details,20,527,347,793,944,1603,291,1603,0.000%,.16638,3.12,0.23
Store/GetItemSubTypes,20,17,8,17,23,169,7,169,0.000%,.16739,1.49,0.11
Cntrl- Stock Deatails With Minimum Input Deatails,20,3639,2882,6479,6696,6972,2226,6972,30.000%,.16321,792.23,0.33
Store/GetItemStockDetail,20,864,683,1493,1559,1778,574,1778,0.000%,.16675,0.38,0.13
Cntrl- Search from List And view Details,20,864,683,1493,1559,1778,574,1778,0.000%,.16616,0.37,0.13
TOTAL,500,820,175,2324,6189,7135,4,7539,14.400%,2.94244,1893.63,44.77
