Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
http://192.168.2.5/ACCSSPLDRYRUN/Home/GetQuickMenu,3000,913,5,11819,625.26,0.000%,9.47840,2.48,3.68,268.0
http://192.168.2.5/ACCSSPLDRYRUN/Sales/VendorLockingReason,1000,17423,420,51826,7794.02,100.000%,3.17806,6472.58,87.79,2085523.4
http://192.168.2.5/ACCSSPLDRYRUN/Home/GetPlant,1000,620,2,5239,599.68,0.000%,3.35405,0.83,1.49,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Master/GetPageAccessDetails,1000,450,1,3431,356.35,0.000%,3.36330,0.87,1.38,265.0
http://192.168.2.5/ACCSSPLDRYRUN/Sales/GetPlant,1000,447,2,4394,365.42,0.000%,3.37407,0.83,1.50,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetVendorCustomerDropDownsForDeliveryChallan?CustVendorType=V,1000,438,1,3478,374.08,0.000%,3.38689,0.84,1.35,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetVendorCustomerDropDownsForDeliveryChallan?CustVendorType=C,1000,427,1,3620,346.98,0.000%,3.39859,0.84,1.36,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Notification/Getnotitfication,2000,412,1,4465,334.19,0.000%,6.79629,1.68,3.02,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Sales/GetReportVendorLockingByVendorId,3000,1111,18,10222,583.79,0.000%,10.23807,4.65,4.76,465.0
http://192.168.2.5/ACCSSPLDRYRUN/Sales/Get90DaysOverLockedVendors,2000,1902,30,19732,1729.99,100.000%,6.88961,316.76,3.08,47080.0
Test,1000,30514,1597,71451,11523.67,100.000%,3.14011,6696.24,106.97,2183665.4
TOTAL,17000,3589,1,71451,8517.72,23.529%,53.38190,13392.49,213.93,256901.8
